label,text
Hypertension,"I've been experiencing dizziness and anxiousness, as well as a loss in my attention and concentration and ability to concentrate."
Hypertension,"I've had intense aches in my chest, a headache that won't go away, and I've been feeling dizzy and unsteady."
Hypertension,"I've had intense aches in my chest, a head  pain that refuses to go away, and I've been feeling dizzy and unsteady."
Hypertension,"Along with chest pain, dizziness, and a headache that feels like a narrow zone around my head, I have been having a lot of trouble."
Hypertension,"I have been struggling with a headache that feels like a tight band around my head, along with chest pain and dizziness."
Hypertension,I've been experiencing balance issues in addition to feeling disoriented and dizzy. My headache has also been present nonstop.
Hypertension,"I have been feeling disoriented and dizzy, and have also had trouble keeping my balance. My headache has been a constant presence as well."
Hypertension,"I've been experiencing balance issues along with feeling dizzy and lightheaded. Additionally, I've seen a drop in my concentration and focus."
Hypertension,"In addition to feeling dizzy and lightheaded, I've been having problems keeping my equilibrium. My capacity to concentrate and focus has also been slipping, I've noticed."
Hypertension,"I have been experiencing a headache that feels like a sharp pain in my temples, along with chest pain and dizziness."
Hypertension,"Along with a chest pain and dizziness, I've had a headache that seems like a sharp pain in my forehead."
Hypertension,"I have been feeling fine all day, but suddenly developed a headache, chest pain, and dizziness while out for a walk. It's been hard for me to focus and concentrate since then."
Hypertension,"While taking a walk, I suddenly started experiencing headache, chest pain, and dizziness after feeling fine all day. Since then, it has been challenging for me to concentrate and focus."
Hypertension,"I woke up this morning with a headache and chest pain, and as the day has gone on, I've also been feeling dizzy and unsteady on my feet"
Hypertension,"I had a headache and chest pain this morning, and as the day wore on, I also started to feel unsteady and unstable on my feet."
Hypertension,"I have been dealing with a headache and chest pain for a few days now, but today the dizziness and loss of balance became much worse."
Hypertension,"For a few days now, I've been suffering from a headache and chest pain, but today the dizziness and lack of balance got considerably worse."
Hypertension,"I was at work when I started feeling a headache, chest pain, and dizziness. It's been hard for me to concentrate and focus on my tasks since then."
Hypertension,"When I first experienced a headache, chest pain, and lightheadedness, I was at work. Since then, it has been challenging for me to focus and concentrate on my work."
Hypertension,"I was in the middle of a workout when I suddenly developed a headache, chest pain, and dizziness. It's been hard for me to maintain my balance since then"
Hypertension,"I instantly experienced a headache, chest pain, and dizziness while working out. Since then, it has been challenging for me to keep my balance."
Hypertension,"I have been feeling fine all day, but suddenly developed a headache, chest pain, and dizziness while driving home from work. It's been hard for me to focus and concentrate on the road since then."
Hypertension,"I felt fine all day, but when I was driving home from work, I suddenly started to have headache, chest discomfort, and dizziness. Since then, it has been challenging for me to concentrate and focus while driving."
Hypertension,"I was out shopping when I started feeling a headache, chest pain, and dizziness. It's been hard for me to focus and concentrate on my tasks since then."
Hypertension,"When I first experienced a headache, chest pain, and lightheadedness, I was out shopping. Since then, it has been difficult for me to concentrate on my work."
Hypertension,"I woke up this morning feeling fine, but as the day went on, I started experiencing a headache, chest pain, and dizziness. It's been hard for me to focus and concentrate on my work since then."
Hypertension,"I felt good when I woke up this morning, but as the day wore on, I began to feel headachey, sick to my stomach, and dizzy. Since then, it has been challenging for me to concentrate and focus on my work."
Hypertension,"I was in the middle of a meeting when I suddenly developed a headache, chest pain, and dizziness. It's been hard for me to focus and concentrate on the discussion since then."
Hypertension,"I suddenly experienced a headache, chest pain, and dizziness in the middle of a conference. Since then, it has been challenging for me to concentrate and focus on the topic."
Hypertension,"I have been feeling fine all day, but suddenly developed a headache, chest pain, and dizziness while out for a run. It's been hard for me to maintain my balance since then"
urinary tract infection,I been having very low temperatues and a very foul smelling pee. The area near my kidneys hurt a lot and I cant seem to hold my pee. I often get these uncontrollable urges
urinary tract infection,"I have to go the bathroom all the time, but the urine output is very low often just a few drops. My stomach hurts a lot and and cant seem to be able to control my urges to pee"
urinary tract infection,My is pee is dark and often bloody and often has a very unfathomable smell. I have been having temperature fluctuations pretty frequently and often am not able to sleep at night because of this
urinary tract infection,I have been having pain in my bladder and have been getting 
urinary tract infection,I have been urinating with blood in it. I occasionally feel queasy when urinating. I frequently almost have a fever at the same time.
urinary tract infection,"My pee has a strong, unpleasant scent and a hazy appearance. Since these symptoms started appearing, I regularly feel the desire to urinate at night and have been experiencing high temperatures"
urinary tract infection,"My stomach hurts, and I frequently acquire a temperature. I experience sudden, intense cravings to urinate. The discomfort is virtually always there and frequently gets worse at night. My pee nearly always smells bad."
urinary tract infection,"I've been experiencing frequent, intense, abrupt cravings to urinate. Sometimes I get blood in my pee, and it smells awful. What should I do if I believe I have an infection?"
urinary tract infection,I occasionally urinate with blood in it and occasionally feel queasy while doing so. Help! I also occasionally get high temps at night and have a terrible odour coming from my pee.
urinary tract infection,"I have lower abdominal ache and a bursting sensation when I urinate. Since I began to experience these additional symptoms, I have also been experiencing low body temperatures. I've been weak as a result of this."
urinary tract infection,"I have a mild temperature and blood in my pee. My head hurts almost constantly, and I frequently experience severe, involuntary desires to urinate. Additionally, I've been experiencing lower back ache"
urinary tract infection,"Since a few days ago, I've been experiencing low temperatures and bloody urination. My head is in excruciating pain, and my urine smells awful. I can hardly control when I urinate, and the impulses come on suddenly."
urinary tract infection,"I frequently vomit and get discomfort at my pelvic area. My urine occasionally smells almost unbearably bad, and there is occasionally blood in it. Because of my headaches at times, I have problems falling asleep."
urinary tract infection,"I have to use the restroom frequently to relieve myself, but I can't seem to get my bladder empty. I occasionally get severe, uncontrolled desires to urinate, as well as black or crimson urine."
urinary tract infection,"I've been experiencing really low moods and very bad urine odour. I can't seem to keep my urine back, and the area near my kidneys hurts a lot. I frequently experience these irrational cravings."
urinary tract infection,"I have to use the restroom frequently, yet only a few drops of pee are usually produced. My stomach aches a lot, and I can't seem to control the desire to urinate."
urinary tract infection,"My urine is frequently black, red, and has a really strange odour. I have been experiencing temperature changes very regularly, which usually prevents me from sleeping at night."
urinary tract infection,Blood has been found in my urination. I sometimes have nausea when urinating. I regularly feel like I'm almost feverish.
urinary tract infection,My pee smells strongly and is cloudy in appearance. I've had high temperatures and a regular urge to urinate at night since these symptoms first materialised.
urinary tract infection,"I've been having frequent, strong, sudden urges to urinate. I occasionally urinate with blood in it, and the stench is horrible. What ought I to do if I think I'm infected?"
urinary tract infection,"On rare occasions, I pee with blood in it and have mild nausea. Help! I also occasionally experience high nighttime temperatures and a dreadful urine odour."
urinary tract infection,"My lower abdomen hurts, and when I urinate, it feels like it's exploding. I've been having low body temps ever since I started having these new symptoms. Because of this, I've been weak."
urinary tract infection,"Blood is in my pee, and I have a low body temperature. I have practically continual headaches and often strong, uncontrollable need to urinate. In addition, I've started having lower back pain."
urinary tract infection,"I've had low temps and bloody urine for the past four days. My pee smells terrible, and my head hurts like hell. I scarcely have any control over when I urinate, and the urges strike without warning."
urinary tract infection,"I regularly vomit and get pelvic pain. There is occasionally blood in my pee, and it occasionally has an absolutely intolerable odour. I occasionally have trouble falling asleep because of my migraines."
urinary tract infection,"I need to relieve myself regularly, but I can't seem to get my bladder to empty. On sometimes, I get intense, uncontrollable urges to urinate, along with dark or red urine."
urinary tract infection,"My spirits have been incredibly low, and my pee smells awful. My kidney region hurts a lot, and I can't seem to hold my urine in. I get these unreasonable urges all the time."
urinary tract infection,"I have to go to the bathroom a lot, but generally only a few drops of urine come out. I have severe stomach pains and an overwhelming want to urinate."
urinary tract infection,"My urine often has a weird odour, is crimson or black in colour, and both. My body's temperature has been fluctuating often, which typically keeps me up at night."
urinary tract infection,I noticed blood in my urinating. I occasionally feel sick after urinating. I frequently feel as though I have a fever.
urinary tract infection,"My pee has a strong odour and a hazy look. Since these symptoms started, I've had high temperatures and frequent nighttime urges to urinate."
urinary tract infection,I occasionally urinate with blood in it and feel a little queasy. Help! I also occasionally get horrible pee odours and excessive overnight temps.
urinary tract infection,"My lower abdomen aches, and it feels like it may explode when I urinate. Since I began experiencing these new symptoms, my body temperature has been consistently low. That's why I've been weak."
urinary tract infection,"In the last four days, I've experienced low temperatures and blood in my pee. My head hurts so much and my urine smells awful. The desires to urinate seldom come on cue, and I hardly ever have any control over when they do."
urinary tract infection,"My pee frequently has an odd smell and is either red or black, or both. The frequent changes in my body temperature usually keep me awake at night."
urinary tract infection,My pee smells strongly and seems cloudy. I've had fevers and frequent overnight urination needs ever since these symptoms began.
urinary tract infection,"I've had low temps and blood in my urine for the past three days. My pee smells terrible, and my head hurts so much. Urinary urges seldom occur on cue, and I almost never have any control over when they do."
diabetes,I have increased thirst and frequent urination. I often have a dry mouth and throat. Recently I have been having increased hunger and appetite
diabetes,I have blurred vision and it only seems to be getting worse. I feel fatigued and tired all the time. I also feel very dizzy and light headed at times
diabetes,I have a dry mouth and throat. I also have been experiencing an increased appetite and hunger. However I do feel very tired at times
diabetes,I have slow healing of wounds and cuts. I have this tingling sensation in my hand and numbness in both my hands and feet
diabetes,I have mood changes and have difficulty concentrating. My mind feels hazy and foggy at times and it gets difficult to do even regular chores
diabetes,I have a feeling of tremors and muscle twitching. I have decreased sense of smell or taste and I feel fatigued. Sometimes I have a feeling of rapid hearbeat or palipatations
diabetes,I have rashes and skin irritations especially in the folds of the skin. There is also very slow healing of any cuts and bruises I have on my skin
diabetes,I have a frequent need to urinate and often have these uncontrollable urges. I feel dizzy and often confused. I have also been loss of visuals
diabetes,I have difficulty breathing especially during physical activity. I have unusual sweating and flushing. I frequently get yeast infections
diabetes,I have persistent dry cough. My infections dont seem to be healing and I have palpitations. I also have this problem of sore throat that does seem to go away
diabetes,"I'm drinking more water and urinating more frequently. My throat and mouth are frequently dry. Recently, my appetite and hunger have both grown."
diabetes,"My vision is foggy, and it seems to be growing worse. I'm constantly feeling worn out and exhausted. Additionally, I occasionally have severe lightheadedness and dizziness."
diabetes,My throat and mouth are dry. I've also been feeling more hungry and more hungry. But sometimes I do feel quite exhausted.
diabetes,I have a sluggish wound and reduced healing rate. My hands and feet are both numb and have this tingling sensation.
diabetes,"I struggle to focus and have emotional swings. At times, my head seems cloudy and foggy, making it challenging for me to do even simple tasks."
diabetes,I feel my muscles trembling and shaking. I feel worn out and my senses of taste and smell have diminished. Sometimes I have palpitations or a quick heartbeat.
diabetes,"I experience skin irritations and rashes, especially in my skin's creases. Any wounds and bruises I have on my skin also heal quite slowly."
